שדה,ערך
שם פנימי של השדה — אל תשנו,הטקסט שמופיע על המסך — ערכו כאן
card1.subtitle,מרכז התמודדות ותמיכה
card1.intro,במידה ואירעה פגיעה על רקע מיני / אלימות בהקשר זוגי / משפחה
card1.callToAction,לפנייה אנונימית התקשרו
card1.phone,1111
card1.extension,שלוחה 5 - 2
card2.subtitle,אפס סובלנות
card2.intro,"ממונת יוהל״ם ביחידה, קצינת הת״ש - 058-7303090"
card2.para1,השימוש בסמים ובמשקאות משכרים ביחידה יגרור לחקירת מצ״ח ודין משמעתי המחמיר ביותר.
card2.para2,אין למכור במתקני צה״ל משקאות אלכוהוליים לצריכה בתוך המחנות.
card2.para3,יש לדווח על כל נושא חריג בנושא זה למפקד הישיר ולרנ״ג הפיקוד.
card3.para1,מידע צבאי מסווג לא יועבר בטלפון / בפקס האזרחי ו/או המטכ״לי.
card3.para2,"אין לחבר חיבור חיצוני למחשבים צבאיים (USB, וכו׳)"
card3.para3,אין להוציא מידע צבאי מחוץ לתחומי הבסיס ללא אישור ביטחון מידע.
card3.para4,"בסיום השירות במסמכים צבאיים, יש לגרוס ואין לזרוק לאשפה."
card3.para5,אין להעלות פרטים מסווגים/צבאיים על גבי רשתות חברתיות.
